study_name,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Wacongne2011,gemma-4-31b-it,2011.0,empirical,92,0.003,0.768,0.548,0.119,0.6,0.093,,,,-0.667,-0.8,0.578,,,,,,0.9,0.689,,,,,,,,0.489,,0.467,,,0.4,0.567,,,0.622,,,,0.656,,,76,0.75,0.154,0.581,0.104,0.642,0.112,,,,,,0.6,,,,,,0.9,0.7,,,,,,,,0.533,,0.511,,,0.5,0.611,,,0.689,,,,0.689,,
Wacongne2011,olmo-3-32b-think,2011.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wacongne2011,phi-4-reasoning-plus,2011.0,empirical,15,0.55,0.252,0.6,0.185,0.467,0.231,,,,,,0.6,,,,0.2,0.6,0.8,0.6,,,,0.2,0.6,0.6,0.6,0.6,0.8,0.8,,,,,,,,,,0.2,0.6,0.6,,15,0.55,0.252,0.6,0.185,0.467,0.231,,,,,,0.6,,,,0.2,0.6,0.8,0.6,,,,0.2,0.6,0.6,0.6,0.6,0.8,0.8,,,,,,,,,,0.2,0.6,0.6,
Wacongne2012,gemma-4-31b-it,2012.0,empirical,193,0.169,0.763,0.674,0.124,0.502,0.122,,,0.756,-0.878,-0.878,0.711,,,,,0.4,0.9,0.778,0.589,0.833,,0.5,0.689,0.689,,0.578,,0.778,0.478,0.578,0.422,0.45,,0.35,0.314,0.678,0.567,,0.422,0.4,0.544,175,0.675,0.175,0.673,0.123,0.502,0.122,,,0.756,,,0.711,,,,,0.4,0.833,0.767,0.589,0.833,,0.5,0.689,0.689,,0.578,,0.778,0.478,0.578,0.422,0.45,,0.35,0.314,0.678,0.567,,0.422,0.4,0.544
Wacongne2012,phi-4-reasoning-plus,2012.0,empirical,50,0.785,0.208,0.808,0.178,0.633,0.206,,0.2,0.867,,,0.867,,,,,0.733,0.867,0.733,0.9,0.9,,1.0,0.8,0.8,0.6,0.8,,0.7,0.8,0.6,0.6,0.8,0.6,0.6,,,0.4,0.8,0.6,0.8,,50,0.785,0.208,0.808,0.178,0.633,0.206,,0.2,0.867,,,0.867,,,,,0.733,0.867,0.733,0.9,0.9,,1.0,0.8,0.8,0.6,0.8,,0.7,0.8,0.6,0.6,0.8,0.6,0.6,,,0.4,0.8,0.6,0.8,
Westerberg&Xiong2025,gemma-4-31b-it,2025.0,this work,135,-0.285,0.772,0.803,0.09,0.817,0.077,,,,-0.644,0.711,-0.922,,,,,,,0.8,,,,0.6,0.8,,0.9,0.8,0.9,0.8,,,0.7,0.9,,,0.9,,0.8,,0.7,0.8,,160,-0.475,0.449,-0.861,0.081,-0.607,0.485,,,-0.8,,,-0.057,,,,,,,-0.878,,,,-0.9,-0.822,-0.744,-0.9,-0.8,-0.867,-0.978,,-0.722,-0.8,-0.9,-0.656,,-0.8,,0.644,,-0.722,-0.9,
Westerberg&Xiong2025,olmo-3-32b-think,2025.0,this work,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamins2014,gemma-4-31b-it,2014.0,empirical,8,,,,,0.587,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.8,0.55,,12,,,,,0.6,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.8,0.6,
Yamins2014,olmo-3-32b-think,2014.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamins2014,phi-4-reasoning-plus,2014.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
