study_name,context,factor_column,human_score,council_score,signed_difference,absolute_difference,is_diagnostic_divergence
Bastos2012,GO,GO-F23,1.0,0.65,0.35,0.35,False
Attinger2017,GO,GO-F25,0.2,0.55,-0.35,0.35,False
Furutachi2024,LO,LO-F24,1.0,0.65,0.35,0.35,False
Bastos2012,LO,LO-F17,1.0,0.65,0.35,0.35,False
Greedy2022,LO,LO-F05,0.2,0.55,-0.35,0.35,False
Friston2010,LO,LO-F11,0.2,0.55,-0.35,0.35,False
Bastos2020,GO,GO-F07,0.0,0.35,-0.35,0.35,False
Bastos2020,GO,GO-F29,1.0,0.65,0.35,0.35,False
Attinger2017,LO,LO-F02,0.2,0.543,-0.343,0.343,False
LeeMejias2025,LO,LO-F01,1.0,0.657,0.343,0.343,False
LeeMejias2025,LO,LO-F03,1.0,0.657,0.343,0.343,False
Friston2010,GO,GO-F21,0.2,0.54,-0.34,0.34,False
Bastos2020,GO,GO-F03,0.2,0.54,-0.34,0.34,False
Attinger2017,GO,GO-F33,0.2,0.54,-0.34,0.34,False
Spratling2008,LO,LO-F01,0.6,0.267,0.333,0.333,False
Garret2020,GO,GO-F27,0.2,0.533,-0.333,0.333,False
Furutachi2024,GO,GO-F01,0.6,0.267,0.333,0.333,False
VanDerveer2021,LO,LO-F27,0.2,0.533,-0.333,0.333,False
LeeMejias2025,LO,LO-F08,0.2,0.533,-0.333,0.333,False
Rao2024,GO,GO-F21,0.2,0.533,-0.333,0.333,False
Keller2018,GO,GO-F34,0.2,0.533,-0.333,0.333,False
Hertag2020,LO,LO-F09,1.0,0.667,0.333,0.333,False
Spratling2008,LO,LO-F25,0.2,0.533,-0.333,0.333,False
Furutachi2024,LO,LO-F04,0.2,0.533,-0.333,0.333,False
Friston2010,GO,GO-F06,1.0,0.671,0.329,0.329,False
LeeMejias2025,GO,GO-F20,0.2,0.525,-0.325,0.325,False
Bastos2020,LO,LO-F03,0.2,0.525,-0.325,0.325,False
Friston2010,GO,GO-F26,1.0,0.675,0.325,0.325,False
LaoRodriguez2023,GO,GO-F18,0.0,0.325,-0.325,0.325,False
Hertag2020,GO,GO-F09,1.0,0.68,0.32,0.32,False
Mikulasch2023,LO,LO-F09,0.2,0.52,-0.32,0.32,False
LeeMejias2025,GO,GO-F01,1.0,0.683,0.317,0.317,False
Bastos2020,GO,GO-F13,1.0,0.683,0.317,0.317,False
VanDerveer2021,GO,GO-F06,0.2,0.517,-0.317,0.317,False
Friston2010,GO,GO-F24,0.2,0.517,-0.317,0.317,False
Attinger2017,GO,GO-F11,1.0,0.688,0.312,0.312,False
Greedy2022,GO,GO-F25,0.2,0.5,-0.3,0.3,False
Bastos2012,GO,GO-F03,1.0,0.7,0.3,0.3,False
Bastos2020,GO,GO-F18,1.0,0.7,0.3,0.3,False
Attinger2017,LO,LO-F18,0.6,0.9,-0.3,0.3,False
VanDerveer2021,GO,GO-F02,0.0,0.3,-0.3,0.3,False
Kiebel2008,GO,GO-F01,0.2,0.5,-0.3,0.3,False
VanDerveer2021,GO,GO-F27,0.2,0.5,-0.3,0.3,False
LeeMejias2025,LO,LO-F30,0.2,0.5,-0.3,0.3,False
LeeMejias2025,LO,LO-F25,0.6,0.9,-0.3,0.3,False
Furutachi2024,LO,LO-F25,0.2,0.5,-0.3,0.3,False
Furutachi2024,GO,GO-F25,0.2,0.5,-0.3,0.3,False
Sacramento2018,LO,LO-F01,1.0,0.7,0.3,0.3,False
Attinger2017,GO,GO-F03,1.0,0.7,0.3,0.3,False
VanDerveer2021,LO,LO-F20,0.2,0.5,-0.3,0.3,False
Mikulasch2023,LO,LO-F26,0.6,0.9,-0.3,0.3,False
Hertag2020,GO,GO-F15,0.2,0.5,-0.3,0.3,False
Hertag2020,GO,GO-F26,0.2,0.5,-0.3,0.3,False
Spratling2008,GO,GO-F25,0.2,0.5,-0.3,0.3,False
Bastos2012,LO,LO-F23,1.0,0.7,0.3,0.3,False
Srinivasan1982,LO,LO-F27,0.0,-0.3,0.3,0.3,False
Friston2010,GO,GO-F13,1.0,0.7,0.3,0.3,False
Bastos2012,LO,LO-F03,1.0,0.7,0.3,0.3,False
Bekinschtein2009,LO,LO-F27,0.2,0.5,-0.3,0.3,False
Friston2010,LO,LO-F18,1.0,0.7,0.3,0.3,False
Spratling2010,GO,GO-F17,0.2,0.5,-0.3,0.3,False
Sacramento2018,GO,GO-F01,1.0,0.7,0.3,0.3,False
LeeMejias2025,GO,GO-F30,0.2,0.5,-0.3,0.3,False
Greedy2022,GO,GO-F29,0.2,0.5,-0.3,0.3,False
Spratling2010,LO,LO-F13,0.0,0.3,-0.3,0.3,False
LeeMejias2025,GO,GO-F25,0.6,0.9,-0.3,0.3,False
Hertag2020,LO,LO-F01,1.0,0.7,0.3,0.3,False
Friston2010,GO,GO-F10,1.0,0.7,0.3,0.3,False
Friston2010,LO,LO-F24,0.2,0.483,-0.283,0.283,False
Bastos2012,LO,LO-F06,1.0,0.717,0.283,0.283,False
LeeMejias2025,GO,GO-F23,1.0,0.717,0.283,0.283,False
Bastos2020,GO,GO-F16,1.0,0.717,0.283,0.283,False
Mikulasch2023,LO,LO-F05,0.2,0.483,-0.283,0.283,False
Bastos2012,GO,GO-F19,1.0,0.717,0.283,0.283,False
Hertag2020,GO,GO-F01,1.0,0.717,0.283,0.283,False
Friston2010,LO,LO-F34,1.0,0.72,0.28,0.28,False
Mikulasch2023,GO,GO-F09,0.2,0.48,-0.28,0.28,False
Keller2012,LO,LO-F12,1.0,0.72,0.28,0.28,False
Bastos2020,GO,GO-F33,0.2,0.48,-0.28,0.28,False
Bastos2012,GO,GO-F13,1.0,0.725,0.275,0.275,False
Bastos2020,LO,LO-F33,0.2,0.475,-0.275,0.275,False
Friston2010,GO,GO-F18,1.0,0.725,0.275,0.275,False
Srinivasan1982,LO,LO-F23,0.6,0.875,-0.275,0.275,False
Attinger2017,LO,LO-F03,1.0,0.725,0.275,0.275,False
Garret2020,LO,LO-F12,1.0,0.725,0.275,0.275,False
Kiebel2008,GO,GO-F34,0.6,0.875,-0.275,0.275,False
Attinger2017,GO,GO-F12,0.6,0.329,0.271,0.271,False
Payeur2021,LO,LO-F10,0.2,0.467,-0.267,0.267,False
Bastos2020,LO,LO-F29,1.0,0.733,0.267,0.267,False
Bastos2020,GO,GO-F20,1.0,0.733,0.267,0.267,False
Bastos2020,LO,LO-F21,1.0,0.733,0.267,0.267,False
Payeur2021,GO,GO-F10,0.2,0.467,-0.267,0.267,False
Spratling2010,GO,GO-F13,0.0,0.267,-0.267,0.267,False
Hertag2020,GO,GO-F10,0.2,0.467,-0.267,0.267,False
Bastos2012,GO,GO-F18,1.0,0.733,0.267,0.267,False
Bastos2012,GO,GO-F02,0.2,0.467,-0.267,0.267,False
Attinger2017,GO,GO-F18,0.6,0.863,-0.263,0.263,False
LeeMejias2025,LO,LO-F19,1.0,0.74,0.26,0.26,False
Mikulasch2023,GO,GO-F07,0.2,0.46,-0.26,0.26,False
Mikulasch2023,LO,LO-F07,0.2,0.46,-0.26,0.26,False
Bastos2020,LO,LO-F23,1.0,0.74,0.26,0.26,False
Friston2010,GO,GO-F34,1.0,0.74,0.26,0.26,False
Hertag2020,LO,LO-F18,0.6,0.86,-0.26,0.26,False
Spratling2008,GO,GO-F07,0.2,0.46,-0.26,0.26,False
LeeMejias2025,GO,GO-F19,1.0,0.74,0.26,0.26,False
Nejad2025,GO,GO-F25,0.6,0.86,-0.26,0.26,False
Attinger2017,LO,LO-F09,1.0,0.75,0.25,0.25,False
Hertag2020,LO,LO-F26,0.2,0.45,-0.25,0.25,False
Keller2018,LO,LO-F12,0.6,0.85,-0.25,0.25,False
Spratling2010,GO,GO-F24,0.0,-0.25,0.25,0.25,False
Garret2020,GO,GO-F09,1.0,0.75,0.25,0.25,False
Keller2018,LO,LO-F25,1.0,0.75,0.25,0.25,False
Spratling2010,LO,LO-F24,0.0,-0.25,0.25,0.25,False
Kiebel2008,LO,LO-F34,0.6,0.85,-0.25,0.25,False
Mikulasch2023,LO,LO-F23,0.6,0.85,-0.25,0.25,False
LeeMejias2025,GO,GO-F03,1.0,0.75,0.25,0.25,False
Spratling2010,GO,GO-F02,1.0,0.76,0.24,0.24,False
Kiebel2008,GO,GO-F12,1.0,0.76,0.24,0.24,False
Hertag2020,GO,GO-F18,0.6,0.84,-0.24,0.24,False
Nejad2025,LO,LO-F25,0.6,0.84,-0.24,0.24,False
Furutachi2024,LO,LO-F12,0.6,0.367,0.233,0.233,False
Bastos2020,LO,LO-F06,1.0,0.767,0.233,0.233,False
Rao2024,LO,LO-F34,0.6,0.833,-0.233,0.233,False
Bastos2020,LO,LO-F08,1.0,0.767,0.233,0.233,False
Rao2024,GO,GO-F34,0.6,0.833,-0.233,0.233,False
Bekinschtein2009,LO,LO-F34,0.0,0.233,-0.233,0.233,False
Attinger2017,GO,GO-F35,0.6,0.367,0.233,0.233,False
Keller2018,LO,LO-F18,0.6,0.833,-0.233,0.233,False
LaoRodriguez2023,LO,LO-F05,0.6,0.367,0.233,0.233,False
Bastos2012,LO,LO-F18,1.0,0.767,0.233,0.233,False
Attinger2017,LO,LO-F35,0.6,0.367,0.233,0.233,False
Hertag2020,GO,GO-F13,0.2,0.433,-0.233,0.233,False
LeeMejias2025,GO,GO-F12,0.6,0.825,-0.225,0.225,False
Attinger2017,GO,GO-F09,1.0,0.775,0.225,0.225,False
Srinivasan1982,LO,LO-F13,0.6,0.825,-0.225,0.225,False
Kiebel2008,GO,GO-F13,0.6,0.375,0.225,0.225,False
Mikulasch2023,LO,LO-F03,0.6,0.825,-0.225,0.225,False
Rao2024,GO,GO-F24,0.6,0.825,-0.225,0.225,False
Mikulasch2023,LO,LO-F25,0.6,0.375,0.225,0.225,False
Nejad2025,LO,LO-F26,0.2,0.425,-0.225,0.225,False
Mikulasch2023,LO,LO-F34,0.6,0.38,0.22,0.22,False
Bekinschtein2009,LO,LO-F13,0.6,0.82,-0.22,0.22,False
Bastos2020,LO,LO-F13,1.0,0.78,0.22,0.22,False
Kiebel2008,LO,LO-F17,0.6,0.82,-0.22,0.22,False
Spratling2008,LO,LO-F07,0.2,0.42,-0.22,0.22,False
Garret2020,GO,GO-F13,0.0,-0.22,0.22,0.22,False
Wacongne2011,LO,LO-F05,-0.6,-0.38,-0.22,0.22,False
LeeMejias2025,GO,GO-F06,1.0,0.783,0.217,0.217,False
Bastos2020,LO,LO-F20,1.0,0.8,0.2,0.2,False
Payeur2021,LO,LO-F01,0.0,0.2,-0.2,0.2,False
Bastos2020,LO,LO-F18,1.0,0.8,0.2,0.2,False
Bastos2020,LO,LO-F16,1.0,0.8,0.2,0.2,False
Yamins2014,LO,LO-F21,0.2,0.4,-0.2,0.2,False
Nejad2025,GO,GO-F26,0.2,0.4,-0.2,0.2,False
Mikulasch2023,GO,GO-F31,0.6,0.4,0.2,0.2,False
Bastos2012,GO,GO-F06,1.0,0.8,0.2,0.2,False
Wacongne2011,GO,GO-F23,0.6,0.8,-0.2,0.2,False
Kiebel2008,GO,GO-F25,0.6,0.8,-0.2,0.2,False
Payeur2021,GO,GO-F01,0.0,0.2,-0.2,0.2,False
Furutachi2024,LO,LO-F34,0.0,-0.2,0.2,0.2,False
LaoRodriguez2023,LO,LO-F36,0.6,0.4,0.2,0.2,False
LaoRodriguez2023,LO,LO-F33,0.6,0.4,0.2,0.2,False
Bastos2020,GO,GO-F06,1.0,0.8,0.2,0.2,False
Greedy2022,LO,LO-F34,0.2,0.4,-0.2,0.2,False
Spratling2010,GO,GO-F30,0.2,0.4,-0.2,0.2,False
Greedy2022,GO,GO-F34,0.2,0.4,-0.2,0.2,False
Hertag2020,LO,LO-F06,1.0,0.8,0.2,0.2,False
Sacramento2018,LO,LO-F33,0.2,0.4,-0.2,0.2,False
Sacramento2018,GO,GO-F06,0.6,0.8,-0.2,0.2,False
Kiebel2008,GO,GO-F19,0.6,0.8,-0.2,0.2,False
Sacramento2018,GO,GO-F33,0.2,0.4,-0.2,0.2,False
Kiebel2008,LO,LO-F25,0.6,0.8,-0.2,0.2,False
Kiebel2008,LO,LO-F22,0.2,0.4,-0.2,0.2,False
Keller2012,LO,LO-F27,0.2,0.4,-0.2,0.2,False
Kiebel2008,LO,LO-F18,0.6,0.8,-0.2,0.2,False
Spratling2010,LO,LO-F30,0.2,0.4,-0.2,0.2,False
Keller2018,LO,LO-F06,1.0,0.8,0.2,0.2,False
Furutachi2024,GO,GO-F33,0.0,0.2,-0.2,0.2,False
Srinivasan1982,LO,LO-F03,0.6,0.8,-0.2,0.2,False
LaoRodriguez2023,GO,GO-F36,0.6,0.4,0.2,0.2,False
Mikulasch2023,LO,LO-F18,0.6,0.8,-0.2,0.2,False
Friston2010,GO,GO-F23,1.0,0.8,0.2,0.2,False
LeeMejias2025,LO,LO-F12,1.0,0.8,0.2,0.2,False
VanDerveer2021,LO,LO-F10,0.2,0.4,-0.2,0.2,False
Bekinschtein2009,GO,GO-F06,0.6,0.4,0.2,0.2,False
LeeMejias2025,LO,LO-F09,1.0,0.8,0.2,0.2,False
LeeMejias2025,LO,LO-F06,1.0,0.8,0.2,0.2,False
Furutachi2024,LO,LO-F32,0.2,0.4,-0.2,0.2,False
Keller2018,LO,LO-F23,0.6,0.786,-0.186,0.186,False
Attinger2017,GO,GO-F06,0.6,0.786,-0.186,0.186,False
LeeMejias2025,GO,GO-F09,1.0,0.814,0.186,0.186,False
Keller2012,LO,LO-F18,0.6,0.783,-0.183,0.183,False
Keller2018,GO,GO-F18,0.6,0.783,-0.183,0.183,False
Bastos2012,GO,GO-F25,1.0,0.82,0.18,0.18,False
Spratling2010,LO,LO-F02,1.0,0.82,0.18,0.18,False
Friston2010,LO,LO-F01,0.6,0.78,-0.18,0.18,False
Friston2010,GO,GO-F01,0.6,0.78,-0.18,0.18,False
Spratling2010,GO,GO-F06,1.0,0.82,0.18,0.18,False
Keller2018,GO,GO-F12,1.0,0.82,0.18,0.18,False
Hertag2020,GO,GO-F03,1.0,0.82,0.18,0.18,False
Rao2024,LO,LO-F24,0.6,0.775,-0.175,0.175,False
Kiebel2008,GO,GO-F27,0.6,0.775,-0.175,0.175,False
Bastos2012,LO,LO-F13,1.0,0.825,0.175,0.175,False
VanDerveer2021,GO,GO-F10,0.2,0.375,-0.175,0.175,False
Garret2020,LO,LO-F09,0.6,0.775,-0.175,0.175,False
Attinger2017,GO,GO-F02,0.2,0.371,-0.171,0.171,False
Keller2018,GO,GO-F23,0.6,0.771,-0.171,0.171,False
Rao2024,GO,GO-F27,0.6,0.767,-0.167,0.167,False
Furutachi2024,LO,LO-F11,0.6,0.433,0.167,0.167,False
Hertag2020,LO,LO-F03,1.0,0.833,0.167,0.167,False
Rao2024,GO,GO-F18,0.6,0.767,-0.167,0.167,False
Bastos2012,LO,LO-F24,0.6,0.767,-0.167,0.167,False
Spratling2010,GO,GO-F32,0.6,0.433,0.167,0.167,False
Spratling2010,GO,GO-F01,-0.2,-0.033,-0.167,0.167,False
Sacramento2018,LO,LO-F06,0.6,0.767,-0.167,0.167,False
Bastos2020,GO,GO-F08,1.0,0.833,0.167,0.167,False
Nejad2025,LO,LO-F12,0.6,0.767,-0.167,0.167,False
Rao2024,GO,GO-F31,0.6,0.767,-0.167,0.167,False
Attinger2017,LO,LO-F01,1.0,0.838,0.162,0.162,False
Attinger2017,GO,GO-F01,1.0,0.838,0.162,0.162,False
Wacongne2011,LO,LO-F04,0.0,0.16,-0.16,0.16,False
Spratling2010,LO,LO-F06,1.0,0.84,0.16,0.16,False
Attinger2017,LO,LO-F06,0.6,0.757,-0.157,0.157,False
Attinger2017,LO,LO-F11,1.0,0.843,0.157,0.157,False
Rao2024,LO,LO-F06,0.6,0.45,0.15,0.15,False
LaoRodriguez2023,GO,GO-F33,0.6,0.45,0.15,0.15,False
Bekinschtein2009,GO,GO-F21,0.6,0.75,-0.15,0.15,False
Bastos2012,GO,GO-F24,0.6,0.75,-0.15,0.15,False
LaoRodriguez2023,LO,LO-F24,0.2,0.35,-0.15,0.15,False
LaoRodriguez2023,LO,LO-F10,0.2,0.35,-0.15,0.15,False
Furutachi2024,LO,LO-F03,0.6,0.45,0.15,0.15,False
Hertag2020,GO,GO-F25,0.6,0.75,-0.15,0.15,False
Yamins2014,GO,GO-F21,0.2,0.35,-0.15,0.15,False
Hertag2020,GO,GO-F06,1.0,0.85,0.15,0.15,False
Bekinschtein2009,GO,GO-F10,0.6,0.75,-0.15,0.15,False
Keller2018,LO,LO-F01,0.6,0.75,-0.15,0.15,False
Keller2018,GO,GO-F06,0.6,0.743,-0.143,0.143,False
Mikulasch2023,LO,LO-F02,0.6,0.74,-0.14,0.14,False
Rao2024,LO,LO-F26,0.6,0.733,-0.133,0.133,False
Rao2024,LO,LO-F31,0.6,0.733,-0.133,0.133,False
Rao2024,GO,GO-F12,0.6,0.467,0.133,0.133,False
Bastos2012,LO,LO-F35,0.6,0.467,0.133,0.133,False
VanDerveer2021,LO,LO-F34,0.6,0.467,0.133,0.133,False
Rao2024,GO,GO-F25,0.6,0.733,-0.133,0.133,False
Sacramento2018,GO,GO-F11,0.6,0.467,0.133,0.133,False
Sacramento2018,LO,LO-F03,0.6,0.733,-0.133,0.133,False
Keller2018,LO,LO-F30,0.2,0.333,-0.133,0.133,False
Hertag2020,LO,LO-F11,1.0,0.867,0.133,0.133,False
Keller2018,GO,GO-F30,0.2,0.333,-0.133,0.133,False
Rao2024,LO,LO-F23,0.6,0.733,-0.133,0.133,False
Bastos2012,GO,GO-F35,0.6,0.467,0.133,0.133,False
LaoRodriguez2023,GO,GO-F10,0.2,0.333,-0.133,0.133,False
Payeur2021,LO,LO-F30,0.2,0.333,-0.133,0.133,False
Mikulasch2023,LO,LO-F11,0.6,0.733,-0.133,0.133,False
Payeur2021,GO,GO-F30,0.2,0.333,-0.133,0.133,False
Srinivasan1982,LO,LO-F06,1.0,0.871,0.129,0.129,False
Rao2024,LO,LO-F27,0.6,0.725,-0.125,0.125,False
VanDerveer2021,LO,LO-F16,0.6,0.725,-0.125,0.125,False
Mikulasch2023,GO,GO-F02,0.6,0.725,-0.125,0.125,False
Kiebel2008,GO,GO-F23,0.6,0.725,-0.125,0.125,False
Attinger2017,LO,LO-F12,0.6,0.475,0.125,0.125,False
Furutachi2024,GO,GO-F03,0.6,0.475,0.125,0.125,False
Garret2020,GO,GO-F03,0.6,0.475,0.125,0.125,False
Rao2024,LO,LO-F18,0.6,0.725,-0.125,0.125,False
Kiebel2008,GO,GO-F26,1.0,0.88,0.12,0.12,False
Keller2018,LO,LO-F13,0.6,0.72,-0.12,0.12,False
Bastos2012,LO,LO-F25,1.0,0.88,0.12,0.12,False
Bastos2020,LO,LO-F11,0.6,0.48,0.12,0.12,False
Keller2018,GO,GO-F03,0.6,0.717,-0.117,0.117,False
LeeMejias2025,GO,GO-F18,1.0,0.883,0.117,0.117,False
LeeMejias2025,LO,LO-F18,1.0,0.883,0.117,0.117,False
LeeMejias2025,GO,GO-F11,0.6,0.714,-0.114,0.114,False
Keller2018,LO,LO-F03,0.6,0.7,-0.1,0.1,False
Greedy2022,LO,LO-F01,0.2,0.1,0.1,0.1,False
Furutachi2024,GO,GO-F10,0.6,0.7,-0.1,0.1,False
Bastos2012,GO,GO-F30,0.6,0.7,-0.1,0.1,False
Keller2012,LO,LO-F06,0.2,0.3,-0.1,0.1,False
Srinivasan1982,GO,GO-F27,0.0,0.1,-0.1,0.1,False
Garret2020,GO,GO-F35,0.2,0.3,-0.1,0.1,False
Spratling2010,LO,LO-F32,0.6,0.5,0.1,0.1,False
Rao2024,LO,LO-F25,0.6,0.7,-0.1,0.1,False
Kiebel2008,LO,LO-F27,0.6,0.7,-0.1,0.1,False
Kiebel2008,LO,LO-F19,0.6,0.7,-0.1,0.1,False
Bekinschtein2009,LO,LO-F29,0.6,0.7,-0.1,0.1,False
Spratling2008,LO,LO-F26,0.6,0.7,-0.1,0.1,False
VanDerveer2021,LO,LO-F26,0.6,0.7,-0.1,0.1,False
Friston2010,GO,GO-F31,0.6,0.7,-0.1,0.1,False
Sacramento2018,GO,GO-F03,0.6,0.7,-0.1,0.1,False
Greedy2022,GO,GO-F27,0.6,0.7,-0.1,0.1,False
Nejad2025,LO,LO-F24,0.6,0.7,-0.1,0.1,False
Keller2018,GO,GO-F01,0.6,0.7,-0.1,0.1,False
Keller2018,LO,LO-F26,0.6,0.5,0.1,0.1,False
Keller2018,LO,LO-F11,0.6,0.7,-0.1,0.1,False
Bastos2020,GO,GO-F11,0.6,0.5,0.1,0.1,False
LeeMejias2025,GO,GO-F21,0.6,0.5,0.1,0.1,False
Garret2020,GO,GO-F02,0.2,0.1,0.1,0.1,False
LaoRodriguez2023,GO,GO-F30,0.2,0.3,-0.1,0.1,False
Payeur2021,GO,GO-F27,0.6,0.5,0.1,0.1,False
Bastos2012,LO,LO-F30,0.6,0.7,-0.1,0.1,False
Payeur2021,GO,GO-F26,0.6,0.5,0.1,0.1,False
VanDerveer2021,GO,GO-F26,0.6,0.7,-0.1,0.1,False
Furutachi2024,GO,GO-F11,0.6,0.5,0.1,0.1,False
Bekinschtein2009,GO,GO-F30,0.6,0.7,-0.1,0.1,False
Friston2010,LO,LO-F03,0.6,0.7,-0.1,0.1,False
Sacramento2018,LO,LO-F11,0.6,0.5,0.1,0.1,False
Furutachi2024,GO,GO-F27,0.2,0.3,-0.1,0.1,False
LaoRodriguez2023,LO,LO-F32,0.6,0.5,0.1,0.1,False
Bekinschtein2009,GO,GO-F29,0.6,0.7,-0.1,0.1,False
Rao2024,GO,GO-F26,0.6,0.7,-0.1,0.1,False
Bastos2012,GO,GO-F08,0.6,0.5,0.1,0.1,False
Kiebel2008,LO,LO-F06,0.6,0.686,-0.086,0.086,False
VanDerveer2021,LO,LO-F06,0.6,0.517,0.083,0.083,False
LaoRodriguez2023,LO,LO-F04,0.2,0.12,0.08,0.08,False
Hertag2020,GO,GO-F11,1.0,0.92,0.08,0.08,False
Kiebel2008,LO,LO-F13,0.6,0.68,-0.08,0.08,False
Bastos2012,LO,LO-F08,0.6,0.52,0.08,0.08,False
Rao2024,LO,LO-F17,0.6,0.525,0.075,0.075,False
Kiebel2008,LO,LO-F23,0.6,0.675,-0.075,0.075,False
LaoRodriguez2023,GO,GO-F24,0.2,0.275,-0.075,0.075,False
Keller2012,LO,LO-F13,0.6,0.675,-0.075,0.075,False
Hertag2020,LO,LO-F25,0.6,0.675,-0.075,0.075,False
Spratling2008,GO,GO-F02,0.6,0.675,-0.075,0.075,False
Furutachi2024,GO,GO-F09,1.0,0.925,0.075,0.075,False
Srinivasan1982,LO,LO-F01,1.0,0.929,0.071,0.071,False
Rao2024,LO,LO-F12,0.6,0.533,0.067,0.067,False
LeeMejias2025,LO,LO-F17,0.6,0.667,-0.067,0.067,False
Rao2024,GO,GO-F17,0.6,0.533,0.067,0.067,False
Srinivasan1982,LO,LO-F32,0.6,0.667,-0.067,0.067,False
VanDerveer2021,GO,GO-F01,0.6,0.667,-0.067,0.067,False
Bastos2012,LO,LO-F21,0.6,0.667,-0.067,0.067,False
Friston2010,GO,GO-F03,0.6,0.667,-0.067,0.067,False
Spratling2010,LO,LO-F07,0.6,0.66,-0.06,0.06,False
Mikulasch2023,LO,LO-F19,0.6,0.54,0.06,0.06,False
Wacongne2011,LO,LO-F12,1.0,0.94,0.06,0.06,False
Spratling2008,LO,LO-F21,0.6,0.54,0.06,0.06,False
Mikulasch2023,GO,GO-F06,0.6,0.54,0.06,0.06,False
Mikulasch2023,GO,GO-F03,0.6,0.54,0.06,0.06,False
Mikulasch2023,LO,LO-F06,0.6,0.54,0.06,0.06,False
Spratling2008,GO,GO-F10,0.6,0.66,-0.06,0.06,False
Wacongne2011,GO,GO-F12,1.0,0.94,0.06,0.06,False
Keller2018,GO,GO-F31,0.6,0.54,0.06,0.06,False
Kiebel2008,LO,LO-F10,0.6,0.54,0.06,0.06,False
Friston2010,LO,LO-F27,0.6,0.55,0.05,0.05,False
Friston2010,GO,GO-F30,0.6,0.55,0.05,0.05,False
Furutachi2024,LO,LO-F09,1.0,0.95,0.05,0.05,False
Bekinschtein2009,GO,GO-F22,0.6,0.55,0.05,0.05,False
Bekinschtein2009,GO,GO-F27,0.6,0.55,0.05,0.05,False
VanDerveer2021,LO,LO-F04,0.6,0.55,0.05,0.05,False
Furutachi2024,LO,LO-F27,0.2,0.25,-0.05,0.05,False
Garret2020,GO,GO-F17,-0.2,-0.25,0.05,0.05,False
Payeur2021,LO,LO-F09,0.2,0.25,-0.05,0.05,False
Keller2012,GO,GO-F06,0.2,0.25,-0.05,0.05,False
Sacramento2018,LO,LO-F34,0.6,0.55,0.05,0.05,False
Mikulasch2023,GO,GO-F34,0.6,0.65,-0.05,0.05,False
Mikulasch2023,GO,GO-F32,0.6,0.55,0.05,0.05,False
Mikulasch2023,GO,GO-F26,0.6,0.65,-0.05,0.05,False
Wacongne2011,GO,GO-F27,0.6,0.55,0.05,0.05,False
Wacongne2011,GO,GO-F22,0.6,0.55,0.05,0.05,False
Wacongne2011,GO,GO-F21,0.6,0.65,-0.05,0.05,False
Wacongne2011,LO,LO-F27,0.6,0.55,0.05,0.05,False
Rao2024,LO,LO-F13,0.6,0.65,-0.05,0.05,False
Bastos2012,LO,LO-F27,0.6,0.55,0.05,0.05,False
Bastos2012,LO,LO-F34,0.6,0.65,-0.05,0.05,False
LeeMejias2025,LO,LO-F11,0.6,0.65,-0.05,0.05,False
Rao2024,GO,GO-F23,0.6,0.65,-0.05,0.05,False
Bastos2012,GO,GO-F01,0.6,0.55,0.05,0.05,False
Bekinschtein2009,LO,LO-F22,0.6,0.55,0.05,0.05,False
LaoRodriguez2023,LO,LO-F12,1.0,0.95,0.05,0.05,False
Bastos2012,GO,GO-F27,0.6,0.55,0.05,0.05,False
Bastos2012,GO,GO-F34,0.6,0.65,-0.05,0.05,False
Keller2018,LO,LO-F32,0.6,0.65,-0.05,0.05,False
Spratling2008,GO,GO-F26,0.6,0.65,-0.05,0.05,False
Bekinschtein2009,LO,LO-F06,0.6,0.55,0.05,0.05,False
Bastos2020,LO,LO-F26,0.6,0.65,-0.05,0.05,False
Keller2018,GO,GO-F13,0.6,0.65,-0.05,0.05,False
Friston2010,LO,LO-F31,0.6,0.55,0.05,0.05,False
Keller2018,GO,GO-F26,0.6,0.55,0.05,0.05,False
Spratling2008,GO,GO-F03,0.2,0.25,-0.05,0.05,False
VanDerveer2021,LO,LO-F31,0.6,0.65,-0.05,0.05,False
VanDerveer2021,LO,LO-F32,0.6,0.55,0.05,0.05,False
Sacramento2018,GO,GO-F34,0.6,0.55,0.05,0.05,False
Kiebel2008,GO,GO-F17,0.6,0.65,-0.05,0.05,False
Wacongne2011,GO,GO-F13,0.6,0.64,-0.04,0.04,False
VanDerveer2021,LO,LO-F08,0.6,0.56,0.04,0.04,False
Bastos2012,LO,LO-F01,0.6,0.64,-0.04,0.04,False
Keller2012,GO,GO-F12,0.6,0.64,-0.04,0.04,False
Rao2024,GO,GO-F13,0.6,0.633,-0.033,0.033,False
VanDerveer2021,GO,GO-F29,0.6,0.567,0.033,0.033,False
Bastos2012,GO,GO-F32,0.6,0.567,0.033,0.033,False
Kiebel2008,GO,GO-F18,0.6,0.567,0.033,0.033,False
Bastos2020,LO,LO-F04,0.2,0.233,-0.033,0.033,False
Bastos2012,LO,LO-F29,0.6,0.567,0.033,0.033,False
LaoRodriguez2023,GO,GO-F32,0.6,0.567,0.033,0.033,False
Mikulasch2023,LO,LO-F31,0.6,0.567,0.033,0.033,False
Keller2018,GO,GO-F11,0.6,0.633,-0.033,0.033,False
Rao2024,GO,GO-F19,0.6,0.567,0.033,0.033,False
Rao2024,GO,GO-F06,0.6,0.633,-0.033,0.033,False
