study_name,evaluator_id,evaluator_class,evaluator_description,year_,type_,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Chao2018,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2018.0,empirical,20.0,19.0,0.233,0.751,0.637,0.331,0.533,0.525,0.64,0.344,0.391,0.576,0.133,0.471,,-1.0,-0.2,1.0,,0.7,0.2,0.8,1.0,0.6,,-1.0,1.0,,0.6,0.4,,0.6,,,1.0,0.5,1.0,0.0,,,1.0,,,0.8,,,,-0.2,,,,,0.0,0.6,,0.8,,0.8,,1.0,,,1.0,0.0,-0.6,1.0,1.0,-0.2,-0.2,0.0,1.0,0.8,0.5,,,,,-0.2,,0.8,,,-0.2,,,
Friston2010,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2010.0,theoretical,14.0,10.0,0.1,0.436,0.84,0.196,0.48,0.56,0.6,0.327,0.55,0.357,0.6,0.432,-0.6,,0.2,,,,0.6,0.2,,,,,1.0,,0.6,,1.0,,,,1.0,,0.6,,0.8,1.0,,,1.0,,-0.2,,-0.2,,,,,,,,,,1.0,,0.2,0.6,,,1.0,,0.6,,0.6,,,,,,0.0,,0.8,1.0,,,,,,,0.0,,,
Furutachi2024,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2024.0,empirical,15.0,15.0,0.743,0.35,0.333,0.943,-0.12,0.688,0.143,0.611,0.6,0.566,0.04,0.65,1.0,1.0,,0.2,,,0.8,0.2,1.0,,,1.0,1.0,,,,,-1.0,,,,,,1.0,0.2,,,-1.0,1.0,-0.2,,-0.6,,,,,0.0,,,,,0.2,0.8,,1.0,-1.0,-0.2,0.2,1.0,,,,,,,,,-0.2,,1.0,,1.0,0.2,-1.0,,0.2,,-0.2,,,,
Garret2020,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2020.0,empirical,17.0,11.0,0.14,0.6,-0.2,0.327,-0.1,0.714,0.62,0.349,0.3,0.173,1.0,0.0,,-0.6,0.0,-0.2,0.6,0.8,,0.2,0.8,-0.6,-0.6,1.0,0.2,,,,,-0.6,,,,,,-0.2,,,,,,,-0.2,,1.0,,-1.0,-0.2,,0.0,1.0,,,0.8,,,0.8,,,0.5,0.2,0.6,0.2,0.2,,,,,,,,,1.0,,,,,,,1.0,,,,
Greedy2022,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2022.0,computational,9.0,11.0,-0.2,0.566,-0.333,0.471,0.3,0.356,-0.267,0.525,0.067,0.68,0.16,0.557,,,,-1.0,,,0.2,,0.2,,,,,,-1.0,,,,,,0.0,0.0,,,0.8,0.1,,,,0.0,,,,,,,,0.0,,,0.2,-1.0,,,,,,,,-0.6,,,,-0.2,,1.0,,,,,0.8,0.8,,,-0.6,,,0.0,,-0.2,,
Hertag2020,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2020.0,computational,20.0,19.0,0.46,0.676,0.267,0.411,0.114,0.584,0.53,0.49,0.0,0.593,0.35,0.384,0.8,-0.6,0.8,0.2,,0.8,-1.0,,1.0,0.6,1.0,1.0,0.8,,,,,0.2,-0.2,,,,,,0.2,,,0.2,,-1.0,,1.0,0.0,0.6,,-0.2,0.8,-0.6,0.8,,1.0,0.1,,0.2,1.0,0.6,0.4,1.0,0.8,,-0.2,,,-1.0,,,0.2,,,0.2,,0.0,0.2,,,,1.0,0.2,,,,
Jiang&Rao2024,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2024.0,computational,17.0,16.0,0.26,0.528,0.32,0.56,-0.071,0.738,0.317,0.801,0.32,0.614,0.44,0.388,,,0.0,-0.6,,0.8,,,,0.8,,0.3,1.0,,,,-0.2,,0.0,,1.0,-0.2,,,0.0,0.8,0.7,,,,,,0.6,-1.0,-0.6,-1.0,,,1.0,,-0.6,0.9,,,,0.8,-1.0,0.8,1.0,-0.6,1.0,,,,0.2,,,,,0.0,,0.8,0.8,,-0.2,0.6,,,,,,0.2
Keller2012,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2012.0,empirical,15.0,17.0,0.15,0.805,0.04,0.898,0.3,0.608,-0.167,0.657,0.8,0.283,0.0,0.816,-1.0,,,,,0.8,,,,,-0.2,1.0,1.0,,,0.2,,1.0,,,,,-1.0,-1.0,0.0,1.0,-0.6,1.0,,,-0.2,0.6,,,,,,,-0.6,,-0.6,0.8,,,-0.2,,-1.0,0.6,1.0,0.2,,,0.6,1.0,1.0,,1.0,0.6,1.0,,,,1.0,,,,,,-1.0,0.0,,
Keller2018,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2018.0,theoretical,18.0,17.0,0.4,0.424,0.24,0.742,0.1,0.577,0.78,0.204,0.24,0.65,0.314,0.683,0.4,,-0.2,,,0.4,,,,,,1.0,1.0,,,-1.0,,1.0,,0.0,0.2,,,,-0.1,0.8,,,-1.0,0.0,0.8,0.2,-0.6,0.2,,0.6,0.8,,,,,0.5,,,0.6,1.0,,1.0,1.0,,,0.0,,1.0,-0.2,,,,,-0.6,0.8,0.8,,-1.0,,-0.2,0.8,1.0,,0.0,,
Kiebel2008,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2008.0,computational,14.0,20.0,0.314,0.5,0.6,0.566,0.125,0.295,0.48,0.319,0.533,0.585,0.067,0.618,0.2,,0.0,,0.2,0.8,-0.6,,,1.0,,0.6,1.0,,,,-0.2,,,,,1.0,,,,0.1,0.6,,,,,0.0,,,,-0.2,,,,,0.2,0.1,,,,0.5,0.6,1.0,1.0,,-0.6,,0.2,,0.6,1.0,,1.0,,,0.2,0.8,-0.2,,-0.2,-1.0,0.6,,0.0,-0.6,,1.0
LaoRodriguez2023,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2023.0,empirical,22.0,14.0,0.075,0.755,0.212,0.333,0.45,0.516,0.057,0.699,0.05,0.433,-0.333,0.471,,-0.6,,-0.6,-0.4,0.6,,1.0,,0.6,-1.0,1.0,0.8,,0.2,0.0,,-0.2,-0.2,0.2,0.6,,,0.3,-0.2,1.0,,-0.2,,,1.0,0.8,,,,0.3,,,,-1.0,-0.6,,0.0,1.0,-0.2,1.0,,0.2,,,-0.6,0.0,,,,,0.2,0.6,,,,-1.0,0.0,,0.0,,,,,,,
LeeMejias2025,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2025.0,computational,17.0,15.0,0.24,0.51,0.48,0.546,0.55,0.45,0.571,0.243,0.217,0.543,0.5,0.3,0.8,0.3,0.6,-0.5,0.0,0.4,,-0.2,0.8,,-0.6,0.8,0.8,,,,-0.6,0.8,0.8,,,,0.6,,0.1,,,,,1.0,,,,,,,0.1,0.5,0.6,,,0.8,,0.4,0.8,,,0.8,-0.1,,,,-0.2,0.8,0.8,,,-0.6,0.6,,0.8,,,,,0.2,,,,,,
Mikulasch2023,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2023.0,theoretical,19.0,20.0,0.337,0.35,-0.229,0.592,-0.175,0.531,0.262,0.517,-0.322,0.557,0.333,0.34,0.6,0.1,0.6,0.6,,-0.2,,,0.6,-0.2,,0.6,-0.8,,,0.2,-0.1,0.8,,,0.0,-1.0,-0.7,,0.7,,,,,,-0.6,,-0.6,-0.2,,,0.6,0.3,0.4,,,0.6,-1.0,,0.6,0.0,,0.6,-0.8,0.2,,-0.6,-0.8,0.8,,-0.6,,-1.0,0.1,-0.2,0.8,,0.0,,,,,,,,,0.2
Nejad2025,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2025.0,computational,14.0,14.0,0.317,0.699,0.35,0.456,0.15,0.572,0.287,0.619,0.475,0.342,0.05,0.65,,-1.0,,,1.0,0.7,,0.6,,-0.2,,0.8,0.8,,,,,0.8,,,0.0,,-0.2,,0.8,,,-0.6,-0.2,,,,,0.6,,,,-1.0,,,0.2,0.8,0.2,,1.0,1.0,0.0,0.1,0.8,,,,,0.8,,,,,0.3,0.0,0.7,-0.6,,,,,,,,,,
Payeur2021,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2021.0,computational,11.0,13.0,0.0,0.712,0.2,0.566,-0.64,0.367,0.15,0.281,0.8,0.2,0.2,0.335,0.6,,0.4,,,,,,,,-1.0,,1.0,,,,,,,,,-0.2,,-0.2,-0.6,-1.0,,,,,,-1.0,-0.6,,0.0,,0.6,,0.3,,,,-0.2,,-0.2,,0.2,0.2,,,,0.6,,,,,,,,1.0,,,0.6,,0.0,0.0,0.6,,-0.2,,,
Rao&Ballard1999,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,1999.0,computational,12.0,17.0,0.533,0.34,1.0,0.0,0.367,0.616,0.4,0.825,0.443,0.68,0.25,0.475,,,,,0.2,0.4,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,0.8,,,-0.2,-0.6,,,,0.2,,,1.0,,-1.0,,1.0,,0.6,,,,,1.0,0.0,,,1.0,0.5,,0.6,,,1.0,-1.0,0.0,0.8,0.1,1.0,,-0.2,,,,,,-0.2
Rao2024,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2024.0,theoretical,14.0,14.0,0.133,0.573,0.633,0.309,0.588,0.369,0.08,0.371,0.02,0.601,0.9,0.1,,-0.6,,,,0.8,,,0.2,,,,0.8,,,0.2,,,,,,,0.9,,1.0,1.0,0.8,,,,0.3,0.6,0.6,0.6,-0.2,,0.0,,-0.2,,,0.8,,-0.2,,0.0,,,0.8,-1.0,,-0.2,,0.2,,,,,0.3,,1.0,1.0,0.8,,,,0.8,,,,,
Sacramento2018,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2018.0,computational,12.0,15.0,0.44,0.388,0.46,0.535,-0.55,0.45,0.1,0.616,0.675,0.238,-0.267,0.772,1.0,,,,0.2,0.8,,,,,0.0,0.2,0.7,,-0.6,0.6,,0.8,,,,,0.8,,-0.1,,,,,,,,-1.0,,,,1.0,,,-0.2,0.6,0.8,0.0,-0.2,-0.2,,,-1.0,0.5,,,,,0.4,,,1.0,,0.8,,0.8,-1.0,,,,,,,,-0.6,,
Spratling2008,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2008.0,computational,10.0,12.0,-0.133,0.618,0.4,0.712,-0.05,0.953,0.225,0.521,0.4,0.438,0.3,0.648,,,,,,0.2,,,-1.0,0.4,,,1.0,,,,,,-0.6,,,,0.8,,,0.8,,,,-1.0,,-1.0,,,1.0,,,-0.6,,,,0.5,,,,0.8,,0.2,1.0,,,,0.2,,-0.2,,0.2,,0.8,,,0.9,,,,,0.6,,,-0.6,,
Spratling2010,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2010.0,computational,13.0,17.0,0.2,0.864,0.533,0.525,0.086,0.594,-0.333,0.471,0.378,0.797,-0.16,0.445,,,,,,1.0,-1.0,,,0.6,,,1.0,,,,,,,,,,0.8,-0.2,1.0,,-1.0,0.6,0.2,-0.2,,0.2,,,-0.2,,0.0,,,,-1.0,0.0,,,,,,,1.0,1.0,-1.0,1.0,,1.0,,-1.0,,0.0,0.8,0.6,,-1.0,0.2,,,,,,0.0,-0.2,0.2,
Srinivasan1982,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,1982.0,theoretical,15.0,9.0,0.68,0.449,0.086,0.464,-0.2,0.653,0.4,0.2,0.1,0.592,-0.867,0.189,0.8,,-0.2,1.0,,0.8,,,,1.0,,,1.0,-0.2,,-0.2,-0.2,,,-0.2,,-0.2,0.6,,0.6,,-1.0,,,-0.2,,,,,,,,,0.6,,,,,,0.2,,,,0.2,,,,,1.0,,,,,-0.6,-0.2,,,,,-1.0,-0.6,-1.0,,,,,
VanDerveer2021,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2021.0,empirical,11.0,12.0,0.183,0.484,-0.2,0.864,0.05,0.05,0.05,0.712,-0.28,0.688,0.133,0.66,0.6,-0.4,,0.2,,1.0,,-0.1,,,,-0.2,,1.0,,,,,,,,,-1.0,-0.6,,,,0.0,,,0.1,,,,,,-1.0,0.0,,,,,,,1.0,0.2,,,-0.2,-0.6,,,1.0,,,,,-1.0,,-0.6,,,,,,,-0.6,,,,0.0,1.0
Wacongne2011,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2011.0,empirical,16.0,14.0,0.2,0.583,0.2,0.771,0.3,0.473,0.033,0.912,-0.2,0.283,0.16,0.662,,,,-0.6,,0.4,,,0.0,,,1.0,1.0,1.0,0.2,-0.2,,-0.6,,-1.0,,,,1.0,,0.2,0.8,-0.2,-0.2,0.9,,,,,,,-1.0,1.0,,-1.0,,0.8,,,-0.6,,,1.0,,-0.6,0.0,,,,,,,0.0,,,,0.0,0.8,,-1.0,0.8,0.2,,,,,
Wacongne2012,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2012.0,computational,17.0,23.0,0.2,0.875,0.85,0.138,0.15,0.497,0.475,0.574,0.37,0.452,0.16,0.344,1.0,,0.8,-0.8,-1.0,1.0,-0.6,,,,,1.0,1.0,0.9,1.0,,,0.8,0.8,0.6,,,,,0.8,-0.6,,,,,0.2,,,0.2,,,1.0,-0.6,0.8,,,1.0,0.6,-0.2,,,0.2,1.0,1.0,-0.1,0.2,,-0.2,0.8,0.8,0.0,0.2,1.0,,0.0,0.8,,0.0,-0.2,,0.0,,0.2,,,,
Westerberg&Xiong2025,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2025.0,empirical,16.0,19.0,-0.3,0.764,1.0,0.0,-0.067,0.854,-0.257,0.682,-0.667,0.745,-0.167,0.77,-1.0,-1.0,-0.2,0.8,,-1.0,,,,0.6,,,1.0,,,,,1.0,,1.0,,,1.0,,-0.6,0.2,1.0,,-1.0,,,1.0,-1.0,,,,-1.0,-1.0,0.6,0.0,,-1.0,,0.6,,,,0.0,-1.0,,,,-1.0,-1.0,,-1.0,,1.0,-1.0,,,-0.6,-1.0,,0.6,-1.0,,1.0,0.0,,,
Yamins2014,gpt_oss_120b_init,human_ai_hybrid,GPT-OSS-120B Initial Dual-Pass Unified Synthesis,2014.0,computational,5.0,10.0,0.3,0.3,-0.2,0.0,0.0,0.6,0.0,0.0,0.05,0.589,-0.16,0.571,,,0.0,,,,,,,0.6,,,,,,,,,,,,,-0.2,,,,,,,,,,,,0.6,-0.6,,,,,0.0,,,,,,,,1.0,,0.0,,,,,,-0.6,,-0.2,,,-1.0,0.2,,,0.6,,,,-0.6,0.0,
Attinger2017,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2017.0,empirical,15.0,9.0,0.871,0.103,0.78,0.16,0.533,0.411,0.857,0.09,0.8,0.0,1.0,0.0,1.0,0.8,0.8,,,0.7,,,0.9,,0.9,1.0,0.9,,,0.6,,1.0,,,0.8,,0.6,,1.0,0.0,,,,,,,,0.6,,,1.0,0.8,0.8,,,0.8,,,0.8,,0.8,1.0,0.8,,,,,,,,,,,,1.0,,,,,,,,,,,
Bakhtiari2021,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2021.0,computational,5.0,7.0,0.8,0.0,0.8,0.0,0.767,0.047,0.8,0.0,0.7,0.1,0.325,0.766,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,0.8,0.8,,,0.7,,,,,,,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,0.6,-1.0,0.8,0.8,,,0.7,,,,,,
Bastos2012,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2012.0,theoretical,20.0,21.0,0.614,0.505,0.811,0.242,0.925,0.083,0.614,0.505,0.867,0.133,0.62,0.614,0.6,,0.8,,,0.9,,0.9,,0.9,0.8,-0.6,0.8,0.7,0.8,1.0,,1.0,,1.0,,0.8,1.0,0.2,1.0,0.9,0.8,1.0,,,,,,,,,0.6,,0.8,,-0.6,0.9,,0.9,,0.9,0.8,,1.0,0.8,0.8,1.0,,0.8,,1.0,,0.8,1.0,0.6,1.0,0.9,0.8,1.0,,,,,,,-0.6,
Bastos2020,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2020.0,empirical,13.0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.08,0.933,0.075,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,0.8,,1.0,,,1.0,,1.0,0.9,0.8,1.0,0.9,1.0,,,,,,
Bekinschtein2009,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2009.0,empirical,10.0,9.0,0.55,0.384,0.75,0.328,0.75,0.25,0.533,0.525,0.967,0.047,0.333,0.806,,,,0.4,0.0,0.8,,,,,,1.0,1.0,,,,,,,,0.8,1.0,0.2,,,,0.5,,,,,,,,,1.0,,,,,,0.8,,-0.2,,,,1.0,1.0,,,,,,,,0.9,1.0,,,,,0.8,,,1.0,,,,,,-0.8
Chao2018,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2018.0,empirical,9.0,10.0,0.8,0.0,0.88,0.098,0.95,0.05,0.833,0.17,0.96,0.08,0.95,0.05,,,,,,0.8,,0.8,,,,,1.0,,,0.8,,,,,1.0,0.8,0.8,,,,1.0,,,0.9,,,,,,,,,,,,0.6,1.0,0.9,,,,,1.0,,,1.0,,,,,1.0,0.8,1.0,,,,1.0,,,0.9,,,,,,
Friston2010,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2010.0,theoretical,8.0,7.0,0.733,0.094,0.967,0.047,0.85,0.05,0.6,0.2,0.9,0.141,0.9,0.0,,,,,0.6,0.8,,,,0.8,,,0.9,,,,1.0,,,,,,1.0,,0.8,0.9,,,,,,,,,,,,,,,,0.8,,,,0.4,,,0.7,,,,1.0,,,,,,1.0,,0.9,0.9,,,,,,,,,,
Furutachi2024,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2024.0,empirical,8.0,8.0,0.76,0.332,0.3,0.638,0.0,0.0,0.86,0.049,0.95,0.05,-1.0,0.0,0.9,,0.1,,,,0.9,,1.0,,,0.9,0.7,,,,,,,-0.6,,,,0.8,,,,,,,,,,,,,0.9,,0.8,,,,0.9,,0.8,,,0.9,0.9,,,,,,,,,,,1.0,,,,,,,,,-1.0,,,
Garret2020,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2020.0,empirical,5.0,6.0,0.833,0.094,0.7,0.1,0.0,0.0,0.8,0.122,0.25,0.25,0.0,0.0,,,,,,0.7,,,0.9,,,0.9,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,0.9,,,0.9,0.5,,,,,,,,,,,0.0,,,,,,,,,,,,
Greedy2022,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2022.0,computational,6.0,4.0,0.0,0.0,0.8,0.0,0.725,0.164,0.0,0.0,0.4,0.4,0.7,0.1,,,0.0,,,,,,,,,,,,,,,,,,,,0.8,,0.7,0.6,0.6,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.8,,0.6,0.8,,,,,,,,,,
Hertag2020,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2020.0,computational,11.0,10.0,0.814,0.264,0.175,0.39,0.0,0.0,0.829,0.266,0.55,0.15,0.6,0.0,0.9,0.2,0.8,,,0.8,,,1.0,,1.0,1.0,0.7,,,-0.2,,,,,,-0.2,0.4,,,,,,,,,,,,,,0.9,0.2,0.8,,,0.9,,,1.0,,1.0,1.0,0.7,,,,,,,,,,0.4,,,,,,,,,,,0.6,,
Jiang&Rao2024,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2024.0,computational,11.0,10.0,0.775,0.043,0.8,0.0,0.725,0.083,0.8,0.0,0.867,0.094,0.75,0.087,,,,0.8,,0.8,,,,0.8,,0.7,0.8,,,,0.8,,,,,,0.8,,,0.7,0.8,,,0.8,,0.6,,,,,,,,,,0.8,,,,0.8,,0.8,1.0,,,,0.8,,,,,,0.8,,,0.8,0.8,,,0.8,,0.6,,,,
Keller2012,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2012.0,empirical,7.0,7.0,0.85,0.05,0.7,0.082,0.6,0.0,0.95,0.05,0.767,0.125,0.6,0.0,,,,,,0.9,,,,,,0.8,0.8,,,,,0.7,,,,,0.6,,,,,,,,0.6,0.6,,,,,,,,,,0.9,,,,,,1.0,0.8,,,,,0.9,,,,,0.6,,,,,,,,0.6,0.6,,,,
Keller2018,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2018.0,theoretical,17.0,16.0,0.586,0.503,0.74,0.28,0.44,0.625,0.75,0.161,0.7,0.268,0.46,0.631,0.8,,,0.8,-0.6,0.9,,,,0.6,0.6,1.0,1.0,,,,0.8,0.9,,,,,0.8,0.2,0.8,0.6,,,,,0.8,0.8,,,,-0.8,0.8,,,,,0.9,0.6,,,0.6,0.6,1.0,1.0,,,,0.8,0.7,,,,,0.8,0.2,0.8,0.7,,,,,0.8,0.8,,,,-0.8
Kiebel2008,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2008.0,computational,11.0,11.0,0.833,0.125,0.9,0.1,0.3,0.5,0.867,0.125,0.9,0.1,0.525,0.311,,,,,,0.8,,,,1.0,,0.7,1.0,,,,0.8,,,,,1.0,0.8,,,0.8,,,,0.8,-0.2,,,-0.2,,,,,,,,0.7,,,,1.0,,0.9,1.0,,,,0.8,,,,,1.0,0.8,,,0.7,,,,0.8,0.6,0.0,,,,
LaoRodriguez2023,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2023.0,empirical,9.0,6.0,0.08,0.614,0.8,0.0,0.8,0.0,1.0,0.0,0.5,0.3,0.733,0.094,,,-0.6,-0.2,-0.4,0.6,,,,,,1.0,0.8,,,,,,,,,,,0.8,,,,,,,,0.8,,,,0.8,,,,,,,,,,,,1.0,0.8,,,0.2,,,,,,,,,,,0.6,,,,,0.8,,,,0.8
LeeMejias2025,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2025.0,computational,15.0,14.0,0.511,0.461,0.65,0.087,0.5,0.3,0.467,0.478,0.75,0.087,0.8,0.0,0.8,0.8,0.6,-0.6,,0.7,,0.7,0.8,,0.0,0.8,0.8,,,,,0.6,0.6,,,,0.6,,0.8,,,,,,,0.2,,,,,0.8,0.8,0.6,-0.6,,0.6,,0.7,0.7,-0.2,,0.8,0.8,,,,,0.8,0.8,,,,0.6,,0.8,,,,,,,,,,,
Mikulasch2023,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2023.0,theoretical,11.0,11.0,0.7,0.153,-0.35,0.669,0.8,0.0,0.7,0.153,-0.4,0.693,0.7,0.0,0.6,0.8,0.6,,,1.0,,,0.6,,,0.6,-0.8,,,,-0.8,0.8,,,,,-0.6,,0.8,,,,,,,,,,,,1.0,0.8,0.6,,,0.6,,,0.6,,,0.6,-0.8,,,,-0.8,0.8,,,,,-0.8,,0.7,,,,,,,,,,,
Nejad2025,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2025.0,computational,7.0,8.0,0.733,0.094,0.667,0.094,0.8,0.0,0.7,0.1,0.8,0.141,0.5,0.3,,,,,,0.8,,,,,0.6,0.8,0.8,,,,,0.6,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,0.8,0.8,,,,,0.8,1.0,,,,0.6,,0.8,,,,,,,0.2,,,,
Payeur2021,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2021.0,computational,3.0,3.0,0.2,0.0,0.0,0.0,0.8,0.0,0.6,0.4,0.0,0.0,0.8,0.0,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,1.0,,0.2,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,
Rao&Ballard1999,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,1999.0,computational,10.0,8.0,1.0,0.0,0.95,0.087,0.8,0.163,1.0,0.0,0.867,0.189,0.65,0.497,1.0,,,,,1.0,,,,1.0,,,0.8,,,,1.0,1.0,,,,,1.0,,0.6,1.0,0.8,,,,,,,,,,,,,,,1.0,,,,,,,0.6,,,,,1.0,,,,,1.0,,1.0,1.0,0.8,,,,,,,,,-0.2
Rao2024,gpt_oss_120b_repa,human_ai_hybrid,GPT-OSS-120B Replicate A Dual-Pass Unified Synthesis,2024.0,theoretical,12.0,8.0,0.7,0.1,0.925,0.083,0.717,0.418,0.8,0.0,0.6,0.283,0.8,0.2,0.8,,,,,0.6,,,,,,,0.9,,,,1.0,1.0,,,,,0.8,,1.0,0.8,0.8,,,1.0,0.9,,,-0.2,,,,,,,,0.8,,,,,,,0.8,,,,,,,0.2,,,0.8,,1.0,1.0,0.6,,,,0.6,,,,,
